"URL report","Report ID","Report date","Event ID","Genotype / Serotype / Subtype","Test name","Laboratory","Outbreak reference","Start date","End date","Country","First administrative division","Second administrative division","Third administrative division","Location","Latitude","Longitude","Species","Typology of animal","Cases","Deaths","Killed and Disposed of","Detailed characterisation","Affected population description"
"https://wahis.woah.org/#/in-event/4185/dashboard","IN_153005",2021-12-17,4185,"H5N1","Real-time polymerase chain reaction (real-time PCR)","Estonian Veterinary and Food Laboratory (VFL)","-",2021-11-08,"44525","Estonia","Hiiu","Kärdla","Kärdla","Kärdla","59.004219999999997","22.741613000000001","Red Fox","Wild",1,1,0,"-","-"
"https://wahis.woah.org/#/in-event/1707/dashboard","FUR_11810",2017-08-30,1707,"H5N1","Virus isolation","Harbin Veterinary Research Institute (HVRI), Chinese Academy of Agricultural Sciences (CAAS)","-",2015-02-04,"42060","China","Guangxi","-","-","Nanning","22.829999999999998","108.26000000000001","Tiger","Wild",2,2,0,"-","All are tamed Bengal tigers (Panthera tigris tigris)."
"https://wahis.woah.org/#/in-event/5037/dashboard","FUR_160804",2023-05-10,5037,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","HPAIWB-2023-170",2023-04-03,"-","Italy","Veneto","Verona","Verona","Verona","45.52","11.07","Red Fox","Wild",1,1,0,"-","Animal with symptoms died shortly after discovery. HPAI H5N1 was detected in a Red fox (vulpes vulpes) found dead"
"https://wahis.woah.org/#/in-event/5037/dashboard","FUR_160804",2023-05-10,5037,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","HPAIWB-2023-171",2023-04-07,"-","Italy","Veneto","Rovigo","Trecenta","Trecenta","45042","11462","Red Fox","Wild",1,1,0,"-","HPAI H5N1 was detected in a Red Fox (vulpes vulpes) found dead"
"https://wahis.woah.org/#/in-event/5037/dashboard","FUR_161807",2023-07-13,5037,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","HPAIWB-2023-8",2023-04-18,"-","Italy","Lombardia","Brescia","Carpenedolo","Carpenedolo","45.337184000000001","10.468970000000001","Dogs","Domestic",5,0,0,"-","The highly pathogenic avian influenza virus (HPAI), subtype H5N1 - has been detected in a backyard farm with domestic birds. These cases were notified in the event number 4953, outbreak ob_117586. In this backyard farm 5 dogs and 1 cat has been controlled and all of them resulted serologically positive for H5N1 on May 22, 2023. All the animals ware asymptomatic."
"https://wahis.woah.org/#/in-event/5037/dashboard","FUR_161807",2023-07-13,5037,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","HPAIWB-2023-8",2023-04-18,"-","Italy","Lombardia","Brescia","Carpenedolo","Carpenedolo","45.337184000000001","10.468970000000001","Cats","Domestic",1,0,0,"-","The highly pathogenic avian influenza virus (HPAI), subtype H5N1 - has been detected in a backyard farm with domestic birds. These cases were notified in the event number 4953, outbreak ob_117586. In this backyard farm 5 dogs and 1 cat has been controlled and all of them resulted serologically positive for H5N1 on May 22, 2023. All the animals ware asymptomatic."
"https://wahis.woah.org/#/in-event/4636/dashboard","FUR_158358",2022-12-20,4636,"H5N1","Reverse transcription-polymerase chain reaction (RT-PCR)","Central Veterinary Research Laboratory - DAFM","-",2022-09-19,"44915","Ireland","Cork","-","-","Rathankar","51.864049999999999","-8.3615899999999996","Red Fox","Wild",1,1,0,"-","On 19th September 2022 a red fox exhibiting neurological signs was submitted to Cork Regional Veterinary Laboratory. On 28th September 2022 the Central Veterinary Research Laboratory confirmed the presence of Avian Influenza subtype H5N1 in samples taken from the fox. Pathogenicity results are pending."
"https://wahis.woah.org/#/in-event/4324/dashboard","FUR_154102",2022-02-15,4324,"H5N1","Reverse transcription-polymerase chain reaction (RT-PCR)","Central Veterinary Research Laboratory","-",2022-02-03,"44607","Ireland","Donegal","-","-","Benduff","55.27346","-7.2487199999999996","Red Fox","Wild",1,1,0,"-","On 3rd February 2022 a barnacle goose and a fox found dead in a coastal location were submitted to Sligo Regional Veterinary Laboratory. The barnacle goose has been reported in the HPAI A H5N1 event from Ireland (evt_4049)."
"https://wahis.woah.org/#/in-event/4941/dashboard","IN_159596",2023-03-06,4941,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","Groupement d’Intérêt Public Labocéa, Ploufragan, FRA","IA20230579",2023-02-10,"44978","France","Île-de-France","Seine-et-Marne","Meaux","Congis-sur-Thérouanne (77126)","48.998396433000003","2.9767878918999999","Red Fox","Wild",1,1,0,"Clade: 2.3.4.4b - Lineage: Reassortment Eurasian and North American","Three foxes found dead in a nature reserve near deaths in gulls. One was collected and tested."
"https://wahis.woah.org/#/in-event/4807/dashboard","IN_158454",2022-12-28,4807,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","Groupement d’Intérêt Public Labocéa, Ploufragan, FRA","LNR-22-11802",2022-12-20,"44923","France","Nouvelle-Aquitaine","Deux-Sèvres","Bressuire","Mauléon (79079)","46.922311999999998","-0.68999505800000005","Cats","Domestic",1,1,0,"Clade: 2.3.4.4b - Lineage: Reassortment Eurasian and North American","-"
